 i S_real S_imag 
         292   1.1223054163066999       -1.1696401253085764     
         293  0.35244421704802736      -0.41436864331752693     
         294  0.81705805517862717      -0.69219886667579911     
         295   1.1317379230674154       -1.2095801776174993     
         296  -1.7593461621448345        1.6082461663381913     
         297  -8.9277118368737821E-002  0.25210099059049135     
         298  -1.8960632164209326        2.0571303963153205     
         299   1.3909968931460923       -1.2072908189132345     
         300  -1.7677762193228910        1.7943012836805901     
         301   2.0254525794097376       -2.0043310929852982     
         302 -0.45860414186907517       0.31584313577095346     
         303   1.3515681471908114       -1.3602912450183424     
         304   1.7743440682587972       -1.8752796329724351     
         305   1.0160062856630161      -0.92385493663165574     
         306   2.1927608878979821       -2.0723092373458005     
         307  -1.9317717982146445        1.7947892965827335     
         308  0.69739352534533305      -0.83533165836661616     
         309 -0.84332878168205971       0.90527233732634305     
         310  0.98561648910304889       -1.0709687863625703     
         311 -0.15530571105090696        5.4366468716336575E-003
         312   3.1956881691699279       -3.2568602288737778     
         313  -1.4666705641016016        1.7143589614777179     
         314 -0.34188118303017079       0.39155334632281324     
         315  0.90742049429394267      -0.84116691744033345     
         316  0.40285994962828697      -0.21841423019521639     
         317  0.57334984615200812      -0.47610502922714382     
         318 -0.98316529521105378       0.89145837392334359     
         319  -2.9458768118975569        2.7667584113842194     
         320   1.5600871893696679       -1.5911650785115585     
         321   1.0981129154317988      -0.92027370223052418     
         322   3.6017077452287571       -3.3011390502607045     
         323 -0.69749049038759692       0.76102677119561080     
         324  0.95700381243246924      -0.94056763305798918     
         325  0.62885208277433780      -0.92869219656261870     
         326  0.19913590417835109      -0.35304783086987124     
         327  0.49719418121428494      -0.45286574280605385     
         328   2.1493141838504628       -2.0827590389318780     
         329  -1.6899839942444244        1.7649839795779179     
         330 -0.17648978121958100       0.14576189086905461     
         331  0.59795049725276073      -0.69464908160840066     
         332  0.51725865004415150      -0.34052790779691544     
         333 -0.70509442729222693       0.64254506934332756     
         334   1.1679899595956420       -1.1446245252623914     
         335 -0.16794185263545292       0.16619772478655878     
         336 -0.95013424397870683        1.0950551653955916     
         337  0.63123952203337397      -0.63649169953270079     
         338  0.88873719069125490      -0.82572551448234677     
         339  -1.5458949743699995        1.6845796318345572     
         340  -1.1845040291676034        1.1189045859470705     
         341   1.5875014950932549       -1.4594092213871184     
         342 -0.76618531085207608       0.63234356817998894     
         343  0.72441536190721267      -0.87567856173967962     
         344  -1.0037737479914071       0.86603885558690785     
         345  -2.1395790326612802        2.0299543908664703     
         346   2.1283045433994290       -2.1564845071302963     
         347   1.0709020473493651       -1.2258180065406477     
         348  0.84905533672057332      -0.83506513577969732     
         349  -7.6772579691931769E-002   6.4349168140914459E-002
         350  0.13401731767909345      -0.18741945757952636     
         351  0.81208294820425719      -0.82262364579670477     
         352  -2.1904872302418346        2.2265014056993131     
         353   2.1190512105573212       -2.2784482396310550     
         354   1.1706546088917671       -1.2182158444316442     
         355  0.95609370206859778       -1.0561192877218812     
         356   1.8696191063696677       -1.9004490742652682     
         357  0.68216894811474416      -0.80941714349976135     
         358  -2.9885863700447837E-002  -5.6980990156642510E-003
         359  -2.1315444725860351        2.1509383709926468     
         360  -1.1508561900341474       0.99721549316410407     
         361   2.4593271838463595       -2.5201631230594157     
         362  -1.0809384368164452        1.0995748689992078     
         363   1.1687691730483538      -0.99425816208136619     
         364 -0.90746797370122889       0.84975417824415533     
         365  -1.4210932961548681        1.5733174796174008     
         366   1.0309101669672422      -0.93195060150066000     
         367  -2.1424908686359267        2.0316925610573944     
         368  0.33415485348782786      -0.58357590283405703     
         369  0.21989638256181360      -0.22899321540679715     
         370  -8.7359925132460561E-002  -2.2473225625737336E-002
         371  -1.5279049323201270        1.5033225327288293     
         372  -2.5515557094084036        2.4946471164414055     
         373  -3.0765416402497157        3.2671462407831786     
         374 -0.99731711486691388       0.98699748555879807     
         375  -2.5312697602161158        2.5828088453750095     
         376   2.5911696790005436       -2.5758881965826226     
         377  -2.0263161984675904        2.1350593355034837     
         378   2.6353666523138695       -2.5203016410384302     
         379   1.0531278686118533       -1.0226427190389196     
         380  -2.3714110099133490        2.3052480638718365     
         381   1.2937090882445768       -1.2527876211822626     
         382   1.8749580319168093       -1.9542676759790516     
         383   1.6234399694782644       -1.4851033135918044     
         384 -0.73048254582953109       0.79516128782855200     
         385   1.2899930217046638       -1.1072947138073150     
         386 -0.23251714066006579       0.30593100162958514     
         387 -0.75597147405169285       0.60637274105246475     
         388  0.88592285749714017       -1.0791862245651862     
         389  -1.4161863551807397        1.3944739855526302     
         390  0.52157343760303798      -0.34189648588939259     
         391   2.0015952709009213       -1.9453043402527774     
         392  -1.5535179236730032        1.3992208553556393     
         393   1.5206296191195421       -1.6241896678561605     
         394  -2.4407599036044032        2.4022188768956783     
         395  -1.4674067913540718        1.4819183179845732     
         396  -3.7472661343443172        3.7695686143093132     
         397  -2.7539108762146252        2.5892388066345724     
         398  0.36428615228086353      -0.40505710869856937     
         399 -0.96831720062111792        1.0612884931363493     
         400  0.48231979579956957      -0.58451520747428432     
         401 -0.49081529613907365      -0.25794254264532274     
         402  -1.6421437280095070        1.2330033265151330     
         403 -0.49640225992826004        3.0157088931430773     
         404  0.54629702999934615       -4.5983810761684545     
         405   5.2903601726596783       -5.1027315230420172     
         406  -2.5669517100890480        7.2232549336863254     
         407  -2.1856054678735073        1.7875478213655631     
         408 -0.28951062859272403       -2.3050591527495552     
         409  0.79766654851149776       -1.3125656439179203     
         410  -1.4434406203517471        6.1681170552146503E-002
         411 -0.65977307674798591        2.4236542925840396     
         412  -6.2078323231655935E-002 -0.21805257185198010     
         413  -1.4529590930753677        1.2572295887693521     
         414  0.71111115401625935       -1.6076205407814310     
         415  0.48424287042642666       -1.0583502870312242     
         416  -3.6838390515155819        4.0063432319459666     
         417  -1.7117292361604972        2.0775292596167412     
         418 -0.41516500626186748        3.5188129917626600     
         419   3.0206235065239055       -1.0748694355592254     
         420 -0.63494638238469014       0.32285918650850959     
         421  -2.0773242411949688       0.22212579637792207     
         422   1.7841882179805357       -3.2803652183250849     
         423   1.4824881711086679      -0.89725354318308548     
         424  0.96750155856053732       0.58022383820860879     
         425   1.2418999064487455      -0.87946243254521406     
         426  0.65547565758238679       -1.9813557738881729     
         427   3.0250333310840238       -1.8342468401137797     
         428  -1.9128525354312380        2.6549511783269448     
         429 -0.39757540765516686       -1.4914920299446477     
         430   1.3638998612979036       -1.0949335703238456     
